Geography Description,Geography Code,Industry,ANZSIC Division Code,Supply/Use,Product,Unit,2021-22
Western Australia,5,Manufacturing,C,Use,Reuse,ML,"5,359.00"
Western Australia,5,"Water supply, sewerage and drainage services",D,Use,Reuse,ML,"3,561.00"
Western Australia,5,"Total Electricity, gas, water and waste services",D,Use,Reuse,ML,"3,561.00"
Western Australia,5,Other industries,E -S,Use,Reuse,ML,"29,425.02"
Western Australia,5,Total industry,Total industry,Use,Reuse,ML,"44,025.02"
Western Australia,5,Total,Total,Use,Reuse,ML,"44,025.02"
Western Australia,5,Environment,Environment,Use,Return flows (b),ML,"1,410,622.86"
Western Australia,5,Total,Total,Use,Return flows (b),ML,"1,410,622.86"
Tasmania,6,Environment,Environment,Supply,Self-extracted,ML,"33,954,340.16"
Tasmania,6,Total,Total,Supply,Self-extracted,ML,"33,954,340.16"
Tasmania,6,"Water supply, sewerage and drainage services",D,Supply,Distributed,ML,"236,266.00"
Tasmania,6,"Total Electricity, gas, water and waste services",D,Supply,Distributed,ML,"236,266.11"
Tasmania,6,Total industry,Total industry,Supply,Distributed,ML,"236,851.10"
Tasmania,6,Total,Total,Supply,Distributed,ML,"236,851.10"
Tasmania,6,Total,Total,Supply,Wastewater (a),ML,"57,548.00"
Tasmania,6,"Water supply, sewerage and drainage services",D,Supply,Reuse,ML,"4,441.00"
Tasmania,6,"Total Electricity, gas, water and waste services",D,Supply,Reuse,ML,"4,441.01"
Tasmania,6,Total industry,Total industry,Supply,Reuse,ML,"5,262.95"
Tasmania,6,Total,Total,Supply,Reuse,ML,"5,262.95"
Tasmania,6,Mining,B,Supply,Return flows (b),ML,"20,181.61"
Tasmania,6,Manufacturing,C,Supply,Return flows (b),ML,"28,416.30"
Tasmania,6,Electricity and gas supply,D,Supply,Return flows (b),ML,"33,458,706.00"
Tasmania,6,"Water supply, sewerage and drainage services",D,Supply,Return flows (b),ML,"53,351.00"
Tasmania,6,"Total Electricity, gas, water and waste services",D,Supply,Return flows (b),ML,"33,512,057.10"
Tasmania,6,Total industry,Total industry,Supply,Return flows (b),ML,"33,560,655.00"
Tasmania,6,Total,Total,Supply,Return flows (b),ML,"33,560,655.00"
Tasmania,6,"Agriculture, forestry and fishing (d)",A,Use,Surface water,ML,"172,240.21"
Tasmania,6,"Water supply, sewerage and drainage services",D,Use,Surface water,ML,"236,121.00"
Tasmania,6,"Total Electricity, gas, water and waste services",D,Use,Surface water,ML,"33,694,828.84"
Tasmania,6,Other industries,E -S,Use,Surface water,ML,"2,297.41"
Tasmania,6,Total industry,Total industry,Use,Surface water,ML,"33,920,492.48"
Tasmania,6,Total,Total,Use,Surface water,ML,"33,920,492.48"
Tasmania,6,"Agriculture, forestry and fishing (d)",A,Use,Groundwater,ML,"18,796.47"
Tasmania,6,"Water supply, sewerage and drainage services",D,Use,Groundwater,ML,145
Tasmania,6,"Total Electricity, gas, water and waste services",D,Use,Groundwater,ML,1.473.045
Tasmania,6,Other industries,E -S,Use,Groundwater,ML,11.3549
Tasmania,6,Total industry,Total industry,Use,Groundwater,ML,"33,847.67"
Tasmania,6,Total,Total,Use,Groundwater,ML,"33,847.67"
Tasmania,6,"Agriculture, forestry and fishing (d)",A,Use,Self-extracted,ML,"191,036.68"
Tasmania,6,Mining,B,Use,Self-extracted,ML,"35,084.05"
Tasmania,6,Manufacturing,C,Use,Self-extracted,ML,"30,934.52"
Tasmania,6,"Water supply, sewerage and drainage services",D,Use,Self-extracted,ML,"236,266.00"
Tasmania,6,"Total Electricity, gas, water and waste services",D,Use,Self-extracted,ML,"33,694,976.14"
Tasmania,6,Other industries,E -S,Use,Self-extracted,ML,"2,308.77"
Tasmania,6,Total industry,Total industry,Use,Self-extracted,ML,"33,954,340.16"
Tasmania,6,Total,Total,Use,Self-extracted,ML,"33,954,340.16"
Tasmania,6,"Agriculture, forestry and fishing (d)",A,Use,Distributed,ML,"142,949.00"
Tasmania,6,Mining,B,Use,Distributed,ML,84
Tasmania,6,Manufacturing,C,Use,Distributed,ML,"11,980.00"
Tasmania,6,"Water supply, sewerage and drainage services",D,Use,Distributed,ML,"36,202.00"
Tasmania,6,"Waste collection, treatment and disposal services",D,Use,Distributed,ML,7.9502
Tasmania,6,"Total Electricity, gas, water and waste services",D,Use,Distributed,ML,"36,209.95"
Tasmania,6,Other industries,E -S,Use,Distributed,ML,"11,049.88"
Tasmania,6,Total industry,Total industry,Use,Distributed,ML,"202,272.83"
Tasmania,6,Households (e),HH,Use,Distributed,ML,"34,578.27"
Tasmania,6,Total,Total,Use,Distributed,ML,"236,851.10"
Tasmania,6,"Water supply, sewerage and drainage services",D,Use,Wastewater (c),ML,"57,548.00"
Tasmania,6,"Total Electricity, gas, water and waste services",D,Use,Wastewater (c),ML,"57,548.00"
Tasmania,6,Total industry,Total industry,Use,Wastewater (c),ML,"57,548.00"
Tasmania,6,Total,Total,Use,Wastewater (c),ML,"57,548.00"
Tasmania,6,"Agriculture, forestry and fishing (d)",A,Use,Reuse,ML,"3,817.00"
Tasmania,6,Other industries,E -S,Use,Reuse,ML,"1,445.95"
Tasmania,6,Total industry,Total industry,Use,Reuse,ML,"5,262.95"
Tasmania,6,Total,Total,Use,Reuse,ML,"5,262.95"
Tasmania,6,Environment,Environment,Use,Return flows (b),ML,"33,560,655.00"
Tasmania,6,Total,Total,Use,Return flows (b),ML,"33,560,655.00"
Northern Territory,7,Environment,Environment,Supply,Self-extracted,ML,"159,711.01"
Northern Territory,7,Total,Total,Supply,Self-extracted,ML,"159,711.01"
Northern Territory,7,Mining,B,Supply,Distributed,ML,4.325.687
Northern Territory,7,"Water supply, sewerage and drainage services",D,Supply,Distributed,ML,"55,547.00"
Northern Territory,7,Total industry,Total industry,Supply,Distributed,ML,"56,486.62"
Northern Territory,7,Total,Total,Supply,Distributed,ML,"56,486.62"
Northern Territory,7,Total,Total,Supply,Wastewater (a),ML,"21,597.00"
Northern Territory,7,Mining,B,Supply,Reuse,ML,6.041.157
Northern Territory,7,Electricity and gas supply,D,Supply,Reuse,ML,282.978
Northern Territory,7,"Water supply, sewerage and drainage services",D,Supply,Reuse,ML,749
Northern Territory,7,"Total Electricity, gas, water and waste services",D,Supply,Reuse,ML,7.773.311
Northern Territory,7,Total industry,Total industry,Supply,Reuse,ML,"1,381.45"
Northern Territory,7,Total,Total,Supply,Reuse,ML,"1,381.45"
Northern Territory,7,Mining,B,Supply,Return flows (b),ML,"19,403.59"
Northern Territory,7,Electricity and gas supply,D,Supply,Return flows (b),ML,3.844.415
Northern Territory,7,"Water supply, sewerage and drainage services",D,Supply,Return flows (b),ML,"19,419.00"
Northern Territory,7,"Waste collection, treatment and disposal services",D,Supply,Return flows (b),ML,736
Northern Territory,7,"Total Electricity, gas, water and waste services",D,Supply,Return flows (b),ML,"19,804.18"
Northern Territory,7,Total industry,Total industry,Supply,Return flows (b),ML,"39,207.77"
Northern Territory,7,Total,Total,Supply,Return flows (b),ML,"39,207.77"
Northern Territory,7,"Agriculture, forestry and fishing (d)",A,Use,Surface water,ML,"7,632.19"
Northern Territory,7,"Total Electricity, gas, water and waste services",D,Use,Surface water,ML,"41,394.47"
Northern Territory,7,Other industries,E -S,Use,Surface water,ML,7.012.762
Northern Territory,7,Total industry,Total industry,Use,Surface water,ML,"54,625.24"
Northern Territory,7,Total,Total,Use,Surface water,ML,"54,625.24"
Northern Territory,7,"Agriculture, forestry and fishing (d)",A,Use,Groundwater,ML,"47,458.90"
Northern Territory,7,"Water supply, sewerage and drainage services",D,Use,Groundwater,ML,"14,552.00"
Northern Territory,7,"Total Electricity, gas, water and waste services",D,Use,Groundwater,ML,"25,013.12"
Northern Territory,7,Other industries,E -S,Use,Groundwater,ML,"3,773.20"
Northern Territory,7,Total industry,Total industry,Use,Groundwater,ML,"105,084.15"
Northern Territory,7,Total,Total,Use,Groundwater,ML,"105,084.15"
Northern Territory,7,Other industries,E -S,Use,Sea water for desalination,ML,1.6279
Northern Territory,7,Total industry,Total industry,Use,Sea water for desalination,ML,1.6279
Northern Territory,7,Total,Total,Use,Sea water for desalination,ML,1.6279
Northern Territory,7,"Agriculture, forestry and fishing (d)",A,Use,Self-extracted,ML,"55,091.09"
Northern Territory,7,"Water supply, sewerage and drainage services",D,Use,Self-extracted,ML,"55,547.00"
Northern Territory,7,"Total Electricity, gas, water and waste services",D,Use,Self-extracted,ML,"66,407.60"
Northern Territory,7,Other industries,E -S,Use,Self-extracted,ML,"4,476.11"
Northern Territory,7,Total industry,Total industry,Use,Self-extracted,ML,"159,711.01"
Northern Territory,7,Total,Total,Use,Self-extracted,ML,"159,711.01"
Northern Territory,7,"Total Electricity, gas, water and waste services",D,Use,Distributed,ML,"7,040.61"
Northern Territory,7,Total industry,Total industry,Use,Distributed,ML,"29,919.24"
Northern Territory,7,Households (e),HH,Use,Distributed,ML,"26,567.39"
Northern Territory,7,Total,Total,Use,Distributed,ML,"56,486.62"
Northern Territory,7,"Water supply, sewerage and drainage services",D,Use,Wastewater (c),ML,"21,597.00"
Northern Territory,7,"Total Electricity, gas, water and waste services",D,Use,Wastewater (c),ML,"21,597.00"
Northern Territory,7,Total industry,Total industry,Use,Wastewater (c),ML,"21,597.00"
Northern Territory,7,Total,Total,Use,Wastewater (c),ML,"21,597.00"
Northern Territory,7,Other industries,E -S,Use,Reuse,ML,"1,381.45"
Northern Territory,7,Total industry,Total industry,Use,Reuse,ML,"1,381.45"
Northern Territory,7,Total,Total,Use,Reuse,ML,"1,381.45"
Northern Territory,7,Environment,Environment,Use,Return flows (b),ML,"39,207.77"
Northern Territory,7,Total,Total,Use,Return flows (b),ML,"39,207.77"
Australian Capital Territory,8,Environment,Environment,Supply,Self-extracted,ML,"42,757.08"
Australian Capital Territory,8,Total,Total,Supply,Self-extracted,ML,"42,757.08"
Australian Capital Territory,8,"Water supply, sewerage and drainage services",D,Supply,Distributed,ML,"41,760.00"
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Supply,Distributed,ML,"41,760.00"
Australian Capital Territory,8,Total industry,Total industry,Supply,Distributed,ML,"41,760.00"
Australian Capital Territory,8,Total,Total,Supply,Distributed,ML,"41,760.00"
Australian Capital Territory,8,Total,Total,Supply,Wastewater (a),ML,"44,411.00"
Australian Capital Territory,8,"Water supply, sewerage and drainage services",D,Supply,Reuse,ML,"4,424.00"
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Supply,Reuse,ML,"4,424.00"
Australian Capital Territory,8,Total industry,Total industry,Supply,Reuse,ML,"4,424.00"
Australian Capital Territory,8,Total,Total,Supply,Reuse,ML,"4,424.00"
Australian Capital Territory,8,"Water supply, sewerage and drainage services",D,Supply,Return flows (b),ML,"39,464.00"
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Supply,Return flows (b),ML,"39,464.00"
Australian Capital Territory,8,Total industry,Total industry,Supply,Return flows (b),ML,"39,468.55"
Australian Capital Territory,8,Total,Total,Supply,Return flows (b),ML,"39,468.55"
Australian Capital Territory,8,"Agriculture, forestry and fishing (d)",A,Use,Surface water,ML,2.463.538
Australian Capital Territory,8,"Water supply, sewerage and drainage services",D,Use,Surface water,ML,"41,760.00"
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Use,Surface water,ML,"41,760.00"
Australian Capital Territory,8,Other industries,E -S,Use,Surface water,ML,3.628.065
Australian Capital Territory,8,Total industry,Total industry,Use,Surface water,ML,"42,590.64"
Australian Capital Territory,8,Total,Total,Use,Surface water,ML,"42,590.64"
Australian Capital Territory,8,"Agriculture, forestry and fishing (d)",A,Use,Groundwater,ML,11.2476
Australian Capital Territory,8,Other industries,E -S,Use,Groundwater,ML,1.278.051
Australian Capital Territory,8,Total industry,Total industry,Use,Groundwater,ML,1.664.402
Australian Capital Territory,8,Total,Total,Use,Groundwater,ML,1.664.402
Australian Capital Territory,8,"Agriculture, forestry and fishing (d)",A,Use,Self-extracted,ML,2.576.014
Australian Capital Territory,8,"Water supply, sewerage and drainage services",D,Use,Self-extracted,ML,"41,760.00"
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Use,Self-extracted,ML,"41,760.00"
Australian Capital Territory,8,Other industries,E -S,Use,Self-extracted,ML,4.906.116
Australian Capital Territory,8,Total industry,Total industry,Use,Self-extracted,ML,"42,757.08"
Australian Capital Territory,8,Total,Total,Use,Self-extracted,ML,"42,757.08"
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Use,Distributed,ML,"3,387.58"
Australian Capital Territory,8,Total industry,Total industry,Use,Distributed,ML,"11,370.00"
Australian Capital Territory,8,Households (e),HH,Use,Distributed,ML,"30,390.00"
Australian Capital Territory,8,Total,Total,Use,Distributed,ML,"41,760.00"
Australian Capital Territory,8,"Water supply, sewerage and drainage services",D,Use,Wastewater (c),ML,"44,411.00"
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Use,Wastewater (c),ML,"44,411.00"
Australian Capital Territory,8,Total industry,Total industry,Use,Wastewater (c),ML,"44,411.00"
Australian Capital Territory,8,Total,Total,Use,Wastewater (c),ML,"44,411.00"
Australian Capital Territory,8,"Water supply, sewerage and drainage services",D,Use,Reuse,ML,"4,406.00"
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",D,Use,Reuse,ML,"4,406.00"
Australian Capital Territory,8,Other industries,E -S,Use,Reuse,ML,18
Australian Capital Territory,8,Total industry,Total industry,Use,Reuse,ML,"4,424.00"
Australian Capital Territory,8,Total,Total,Use,Reuse,ML,"4,424.00"
Australian Capital Territory,8,Environment,Environment,Use,Return flows (b),ML,"39,468.55"
Australian Capital Territory,8,Total,Total,Use,Return flows (b),ML,"39,468.55"
